iter	Logloss
0	0.6739047447
1	0.6528970804
2	0.6333747169
3	0.6152858579
4	0.6003282064
5	0.585483299
6	0.5710408331
7	0.5596170381
8	0.5516438075
9	0.5431761615
10	0.5370620227
11	0.5282336412
12	0.5208058917
13	0.5155652427
14	0.5088311541
15	0.502758065
16	0.4993269153
17	0.4960657988
18	0.4938605775
19	0.4900788055
20	0.4860608827
21	0.4833547808
22	0.480718732
23	0.4775743117
24	0.4757524027
25	0.4727780604
26	0.4705661667
27	0.468816831
28	0.4668858046
29	0.4650615849
30	0.4620243668
31	0.4597951288
32	0.4581374821
33	0.4568331274
34	0.4553421869
35	0.4542470285
36	0.4529049529
37	0.4515240057
38	0.4505891997
39	0.449652578
40	0.4483205627
41	0.4471728682
42	0.445379272
43	0.4446174193
44	0.4433799386
45	0.4427319603
46	0.4418944128
47	0.4413675849
48	0.4405510866
49	0.4398928042
50	0.4392365985
51	0.4387777788
52	0.4378620614
53	0.4369570054
54	0.4366754997
55	0.4362938373
56	0.4341853768
57	0.433605042
58	0.4324085108
59	0.431864422
60	0.4313540491
61	0.430833948
62	0.4299220167
63	0.4290606794
64	0.4287178453
65	0.4281572765
66	0.427668238
67	0.4273760981
68	0.427018749
69	0.426415669
70	0.4260389326
71	0.4257659044
72	0.425467067
73	0.4249917153
74	0.4246437233
75	0.4244099235
76	0.4240515974
77	0.4234342815
78	0.4229753649
79	0.4225769713
80	0.4224078016
81	0.421748645
82	0.4212850589
83	0.419971796
84	0.4195772933
85	0.419057069
86	0.4188430873
87	0.4184906144
88	0.4180415912
89	0.4176486937
90	0.4174457413
91	0.4171715826
92	0.4167176955
93	0.4163941414
94	0.4160765314
95	0.4156760942
96	0.4154306892
97	0.4151429676
98	0.4148401143
99	0.414615472
100	0.414361887
101	0.4140571133
102	0.4137323644
103	0.4129322359
104	0.4127500967
105	0.4126054574
106	0.4124163899
107	0.4121691674
108	0.4117252332
109	0.4115324666
110	0.4112984695
111	0.4109248399
112	0.4107416321
113	0.4102874645
114	0.4100881167
115	0.4098109398
116	0.4095647655
117	0.4093961382
118	0.4091992903
119	0.4089919355
120	0.4087934953
121	0.4085634981
122	0.4083788809
123	0.4081477546
124	0.407872209
125	0.4075948657
126	0.4072850295
127	0.4070166358
128	0.4068392131
129	0.4066530724
130	0.4065101984
131	0.4063130547
132	0.4059189687
133	0.4056809524
134	0.4055831444
135	0.4052539909
136	0.404976327
137	0.4040818663
138	0.4039030373
139	0.403673097
140	0.403447816
141	0.4031027659
142	0.4027871813
143	0.4026109643
144	0.4023763338
145	0.4022448984
146	0.4021202095
147	0.4019205723
148	0.4017108548
149	0.4014831752
150	0.4012656559
151	0.4009995425
152	0.4008054841
153	0.4004859919
154	0.4003749923
155	0.4001642304
156	0.3999557888
157	0.3991149958
158	0.3988696863
159	0.3986828685
160	0.3985318794
161	0.3983434942
162	0.3980637213
163	0.3977950057
164	0.39758532
165	0.3973806889
166	0.397181648
167	0.3970454122
168	0.3968139933
169	0.3960753641
170	0.3957393879
171	0.3954921834
172	0.3953395195
173	0.3950729841
174	0.394816117
175	0.3946678224
176	0.3944779658
177	0.3942236602
178	0.3940020158
179	0.3938100204
180	0.3935300267
181	0.3933619413
182	0.3932253082
183	0.3930628777
184	0.3929074625
185	0.3927118362
186	0.3925864444
187	0.3923793314
188	0.392170512
189	0.3918968504
190	0.3916570693
191	0.3914660653
192	0.3913514252
193	0.391048958
194	0.3909394746
195	0.3903379229
196	0.390143389
197	0.3899517824
198	0.3898512832
199	0.3895919083
200	0.3892681865
201	0.3890722576
202	0.3888853146
203	0.3887284689
204	0.388441288
205	0.3882504527
206	0.3880947696
207	0.3878986492
208	0.387638287
209	0.3874816705
210	0.3873308343
211	0.3871784686
212	0.3866763151
213	0.3865228499
214	0.3863707793
215	0.3861581015
216	0.3859290465
217	0.3858247737
218	0.3856615741
219	0.385120798
220	0.3848973954
221	0.3846997628
222	0.3845094559
223	0.3843964704
224	0.3842438433
