iter	Logloss
0	0.6443651123
1	0.6070676758
2	0.57672948
3	0.55200802
4	0.5320093506
5	0.5183458618
6	0.5064475586
7	0.4953534912
8	0.4866622925
9	0.4793384277
10	0.4731830444
11	0.4691874023
12	0.4649455811
13	0.4613540527
14	0.4590598633
15	0.4568669434
16	0.4544283936
17	0.4528739258
18	0.4512393188
19	0.4501502563
20	0.4488348145
21	0.4479498657
22	0.4468778809
23	0.4461427124
24	0.4453763428
25	0.4448202393
26	0.4441659424
27	0.4436830811
28	0.4428971436
29	0.4421745728
30	0.4417296753
31	0.4411771851
32	0.4407213745
33	0.4404008179
34	0.4400958618
35	0.4397687622
36	0.4392683716
37	0.4389276123
38	0.4385294067
39	0.4382494629
40	0.4380098511
41	0.4378134033
42	0.4375472778
43	0.4373448364
44	0.4370881104
45	0.4369160645
46	0.4366037842
47	0.436401416
48	0.4361644775
49	0.4359494629
50	0.435702771
51	0.4354412842
52	0.435292981
53	0.4351120972
54	0.4348896606
55	0.4345723633
56	0.4343285156
57	0.4340649902
58	0.433754248
59	0.4335618042
60	0.4333970825
61	0.4332145508
62	0.4330642456
63	0.4327933716
64	0.4325822144
65	0.4323650024
66	0.4322446533
67	0.4320889282
68	0.4319391968
69	0.4317856079
70	0.4315524536
71	0.4314050781
72	0.43124021
73	0.4311280762
74	0.4309114014
75	0.4307589844
76	0.4305641846
77	0.4303968872
78	0.4302529053
79	0.4301020142
80	0.4298579224
81	0.4297238281
82	0.4295098145
83	0.4293453857
84	0.4291854858
85	0.4290489014
86	0.4289367676
87	0.4287879395
88	0.4286608521
89	0.4284021851
90	0.4282322021
91	0.4280892578
92	0.4279282227
93	0.4277564209
94	0.4275879883
95	0.4275286255
96	0.4274325073
97	0.4273157837
98	0.4271862793
99	0.4270444702
100	0.4269467651
101	0.4268255005
102	0.426569165
103	0.4264511719
104	0.4262993774
105	0.4261386353
106	0.4259937378
107	0.4258923706
108	0.4256937866
109	0.4255283936
110	0.4254147461
111	0.4252496216
112	0.4250818604
113	0.4249343506
114	0.4248378418
115	0.4246850342
116	0.4245618286
117	0.4244640991
118	0.4243216675
119	0.4241854492
120	0.424092334
121	0.4239478027
122	0.4238597046
123	0.4237728638
124	0.4236339966
125	0.4234818848
126	0.4233634155
127	0.4232848389
128	0.4231358154
129	0.4229813965
130	0.4228669922
131	0.4227402588
132	0.422644458
133	0.4225306763
134	0.4223877441
135	0.4221942749
136	0.4220103271
137	0.4218716064
138	0.4217022217
139	0.4215825684
140	0.4214516724
141	0.4213148682
142	0.421228418
143	0.4211433838
144	0.4210096558
145	0.4208515137
146	0.4207151489
147	0.4205561279
148	0.4204248779
149	0.4203487671
150	0.4202874023
151	0.4201184692
152	0.4200320312
153	0.419921228
154	0.4197715942
155	0.4196617798
156	0.4195107544
157	0.4194303833
158	0.4193175049
159	0.419230957
160	0.4191157837
161	0.4189852539
162	0.418889502
163	0.4188237427
164	0.4187423462
165	0.4186711792
166	0.4185577759
167	0.4184818115
168	0.4183609375
169	0.4182099731
170	0.4181463989
171	0.4179861694
172	0.4178168823
173	0.4177143433
174	0.4176311279
175	0.4174878174
176	0.4173719849
177	0.4173264648
178	0.4172458618
179	0.41715354
180	0.4170537964
181	0.4169800903
182	0.4168894287
183	0.4168451172
184	0.4167255127
185	0.4165793457
186	0.4164425781
187	0.4163304932
188	0.4162474731
189	0.4161398193
190	0.41596875
191	0.4158398682
192	0.4156897949
193	0.4155940186
194	0.4154870483
195	0.4154149902
196	0.4153026978
197	0.4152380249
198	0.4151548706
199	0.4150161255
200	0.4149237793
201	0.4148006836
202	0.414744043
203	0.4145938843
204	0.4145080078
205	0.4144396606
206	0.4143966675
207	0.4143777466
208	0.4142362183
209	0.4142067871
210	0.4141000854
211	0.4139891113
212	0.4138545654
213	0.4137794067
214	0.413663501
215	0.413559436
216	0.4133946533
217	0.4132894897
218	0.4131408569
219	0.4130065186
220	0.412909729
221	0.4129022705
222	0.4128254395
223	0.4126748291
224	0.4125598877
225	0.4124775757
226	0.4123824585
227	0.4123350159
228	0.4122303467
229	0.4121223145
230	0.4120719543
231	0.4119722778
232	0.4118881958
233	0.4118446899
234	0.4117916016
235	0.41173573
236	0.4116773437
237	0.4115755371
238	0.411459259
239	0.4114270508
240	0.4113494263
241	0.411243042
242	0.411165564
243	0.4110819458
244	0.4109813477
245	0.4108582642
246	0.4108101318
247	0.4107231079
248	0.4106656982
249	0.4105606323
250	0.4104886475
251	0.41039953
252	0.4103231934
253	0.4102474915
254	0.4101963135
255	0.4100772278
256	0.4100119263
257	0.4099631165
258	0.4098831604
259	0.4098211243
260	0.409724353
261	0.409673999
262	0.4096442871
263	0.4095643738
264	0.4095540833
265	0.4093880249
266	0.4093097595
267	0.4092123535
268	0.4091283997
269	0.4090072693
270	0.4089161011
271	0.4088129395
272	0.4087565918
273	0.4087080933
274	0.4086603455
275	0.4085695374
276	0.408462677
277	0.4083766052
278	0.4083289063
279	0.4082538147
280	0.4081777954
281	0.4081680908
282	0.4080878235
283	0.4080006165
284	0.40799104
285	0.4078888062
286	0.4078115356
287	0.4077549988
288	0.4076881165
289	0.4076612915
290	0.4075836914
291	0.4074834534
292	0.4074345093
293	0.4073579224
294	0.4073078308
295	0.407210907
296	0.4072050049
297	0.4071638977
298	0.4070665588
299	0.4069910889
300	0.4068941467
301	0.4068277954
302	0.406788147
303	0.4066622925
304	0.4065959717
305	0.4065266968
306	0.4064173523
307	0.406391156
308	0.4063249329
309	0.4062220764
310	0.4060832764
311	0.406006427
312	0.4059326843
313	0.405848114
314	0.4057470032
315	0.4056640015
316	0.4056097412
317	0.4055384888
318	0.4054950073
319	0.4054313538
320	0.4053622498
321	0.405293689
322	0.4052010498
323	0.405137915
324	0.4050579102
325	0.4050221252
326	0.4049372925
327	0.4048574707
328	0.404724408
329	0.4046231323
330	0.4045652588
331	0.4044962402
332	0.4044217407
333	0.4043399719
334	0.4042683167
335	0.4042299805
336	0.4041199341
337	0.4040572693
338	0.4039776978
339	0.4038583191
340	0.4037776917
341	0.4036617432
342	0.4035530945
343	0.4034521057
344	0.4034346313
345	0.4033330872
346	0.4032806946
347	0.4031966309
348	0.4031459351
349	0.4030598267
350	0.40300672
351	0.4028954834
352	0.4027999939
353	0.4027253845
354	0.4026470642
355	0.4025631165
356	0.4025353577
357	0.4024675781
358	0.4024223267
359	0.4023438538
360	0.402321936
361	0.402255188
362	0.4021819824
363	0.4021282043
364	0.4020886475
365	0.4020238525
366	0.4019384155
367	0.4018413635
368	0.4018142944
369	0.4017194702
370	0.4016739319
371	0.401584845
372	0.4015390747
373	0.4014474731
374	0.4013753723
375	0.4013154968
376	0.4012576477
377	0.4012111145
378	0.4011308716
379	0.4010342346
380	0.4009740723
381	0.4008704102
382	0.4008084961
383	0.4007233826
384	0.4006512085
385	0.4005858948
386	0.4005096863
387	0.4004106567
388	0.4003587891
389	0.4003237976
390	0.4002689514
391	0.4001826233
392	0.4001109985
393	0.4000982178
394	0.4000517273
395	0.3999602356
396	0.3998923706
397	0.399836731
398	0.3997859253
399	0.3997089478
400	0.3996838257
401	0.399566394
402	0.3994917053
403	0.3993938232
404	0.3993297729
405	0.3992483826
406	0.3991612793
407	0.3990803711
408	0.3990057678
409	0.3989153931
410	0.3988811462
411	0.3987748413
412	0.3987066895
413	0.3986292053
414	0.3985580322
415	0.3984840454
416	0.3984439331
417	0.3983726318
418	0.3983122559
419	0.3982416748
420	0.3981612732
421	0.3981137207
422	0.3980394775
423	0.3980037537
424	0.3979652039
425	0.3978969849
426	0.3978353821
427	0.3977602966
428	0.397704895
429	0.3976299622
430	0.3975525024
431	0.397443103
432	0.3973890625
433	0.3973447388
434	0.3972806396
435	0.3972014038
436	0.3971368225
437	0.3970772278
438	0.3970223999
439	0.3969502808
440	0.3968626587
441	0.3968240479
442	0.3967845276
443	0.3967514832
444	0.3966634705
445	0.3965959961
446	0.3964960754
447	0.3964147522
448	0.3963450745
449	0.3962902954
450	0.3962115906
451	0.3961722778
452	0.3961215027
453	0.3960491943
454	0.3959915161
455	0.3959124756
456	0.3958547058
457	0.3957947632
458	0.3957329468
459	0.3956989075
460	0.3956154846
461	0.3955362061
462	0.3954789673
463	0.3954401672
464	0.3953846924
465	0.3953165344
466	0.3952476624
467	0.3952243958
468	0.3951596497
469	0.39508573
470	0.3950052429
471	0.3949537964
472	0.3948961731
473	0.3948797791
474	0.3948410522
475	0.3947714539
476	0.3947415955
477	0.3946659729
478	0.3946101135
479	0.3945830322
480	0.3945543335
481	0.3945333496
482	0.3945248413
483	0.3944864746
484	0.3944165039
485	0.394347937
486	0.3942950989
487	0.3942421387
488	0.3942122559
489	0.3941597961
490	0.3940820068
491	0.3940227295
492	0.3939786926
493	0.3939460693
494	0.3939111694
495	0.3938529419
496	0.3938185852
497	0.3937446167
498	0.3936536377
499	0.3936352051
500	0.3935766541
501	0.3935031799
502	0.3934381165
503	0.3934214111
504	0.393329425
505	0.3932335815
506	0.3931941101
507	0.3931302368
508	0.3930658447
509	0.3930407043
510	0.3929576843
511	0.3928696106
512	0.3928245911
513	0.3927563354
514	0.3926666443
515	0.3926265442
516	0.3925783081
517	0.392529657
518	0.3924225098
519	0.3923933167
520	0.3923626892
521	0.3922847229
522	0.3922280273
523	0.3921897888
524	0.3920840637
525	0.3920071655
526	0.3919712158
527	0.3919418091
528	0.3919314148
529	0.391862915
530	0.3917988831
531	0.3917578003
532	0.3916964111
533	0.3916512451
534	0.3915706482
535	0.3915167908
536	0.3914420166
537	0.3914154907
538	0.391358728
539	0.3913052246
540	0.391244165
541	0.3911945557
542	0.3911307678
543	0.3910748169
544	0.3910283691
545	0.3909658081
546	0.3908820923
547	0.390864978
548	0.3907913147
549	0.3907310181
550	0.3906963074
551	0.3906382812
552	0.3905831482
553	0.3905154968
