iter	RMSE
0	9.721965088
1	9.263792985
2	8.828903061
3	8.41678926
4	8.027531718
5	7.658540049
6	7.308487312
7	6.978599004
8	6.667063535
9	6.371734247
10	6.093637573
11	5.832001783
12	5.582104001
13	5.348761387
14	5.125596905
15	4.915969974
16	4.720688526
17	4.535819256
18	4.362442195
19	4.200479476
20	4.047514364
21	3.902760024
22	3.765334461
23	3.637220783
24	3.516601051
25	3.406502088
26	3.303201567
27	3.20667225
28	3.11627165
29	3.031482835
30	2.951816355
31	2.879567123
32	2.811674099
33	2.747364844
34	2.690297425
35	2.635504701
36	2.586040216
37	2.539473943
38	2.49621517
39	2.45612373
40	2.419416885
41	2.385485201
42	2.353713783
43	2.32506963
44	2.297866655
45	2.273376327
46	2.250764676
47	2.229411103
48	2.210463355
49	2.192353954
50	2.176265156
51	2.161826349
52	2.147969024
53	2.136062868
54	2.124500967
55	2.113954816
56	2.104833329
57	2.095655299
58	2.086820639
59	2.079186616
60	2.072091837
61	2.065683316
62	2.05981933
63	2.054161325
64	2.048880713
65	2.043672479
66	2.038961584
67	2.034626282
68	2.030662479
69	2.026747886
70	2.023797654
71	2.020408835
72	2.017378218
73	2.014605113
74	2.01179524
75	2.009379571
76	2.007160137
77	2.004761259
78	2.002464725
79	2.000802589
80	1.999281585
81	1.997701364
82	1.995988963
83	1.994244491
84	1.992432572
85	1.990860718
86	1.989749208
87	1.988672437
88	1.987580443
89	1.986712234
90	1.985672215
91	1.984751588
92	1.983598012
93	1.982927122
94	1.982022279
95	1.981168497
96	1.980194958
97	1.979357607
98	1.97845583
99	1.977564677
100	1.977006829
101	1.976135202
102	1.975062672
103	1.974168759
104	1.973505107
105	1.972838295
106	1.972160875
107	1.971472768
108	1.970911077
109	1.97051529
110	1.969706584
111	1.969045395
112	1.968591136
113	1.968085915
114	1.967651562
115	1.967272033
116	1.966883526
117	1.966219471
118	1.965851657
119	1.96550317
120	1.964979331
121	1.964231991
122	1.963882806
123	1.96332855
