iter	MultiClass
210	0.7019796415
211	0.7018756495
212	0.7017987915
213	0.7016723415
214	0.701605103
215	0.7015232935
216	0.701436672
217	0.7013578437
218	0.7012556574
219	0.701150568
220	0.7010740117
221	0.7009584158
222	0.7008556998
223	0.7007733002
224	0.7006850681
225	0.7005816716
226	0.7004956248
227	0.7004284165
228	0.7003348443
229	0.6993457034
230	0.6992456551
231	0.6991474279
232	0.6990174073
233	0.6988968039
234	0.698817959
235	0.6987542717
236	0.6985953818
237	0.6985002016
238	0.698435051
239	0.6982813755
240	0.6981744045
241	0.6980468534
242	0.6979558908
243	0.6978795669
244	0.6978122723
245	0.6974729007
246	0.6973886613
247	0.6973173289
248	0.6972516786
249	0.6971736002
250	0.6970823511
251	0.6969690053
252	0.6968695012
253	0.6967843382
254	0.6967020527
255	0.6965971506
256	0.6964797607
257	0.696399461
258	0.6963172254
259	0.6962198917
260	0.696115285
261	0.6960130177
262	0.6959503679
263	0.6959014962
264	0.6957589445
265	0.6956901504
266	0.6955661018
267	0.6954499846
268	0.6953613212
269	0.6952590498
270	0.6951514794
271	0.6950723078
272	0.6949530974
273	0.6948837675
274	0.6948012468
275	0.6947048656
276	0.694638823
277	0.6945567977
278	0.6944878808
279	0.6943850201
280	0.6943459436
281	0.6942639896
282	0.6941227973
283	0.6940280522
284	0.6939041892
285	0.6938087261
286	0.6936188932
287	0.6935104782
288	0.6933575105
289	0.6932632193
290	0.6930021356
291	0.6929178219
292	0.6928139181
293	0.6927190585
294	0.6926685696
295	0.6926049537
296	0.6925311169
297	0.692381569
298	0.6923146358
299	0.6922103631
300	0.6921334582
301	0.6920212639
302	0.6919653202
303	0.691867093
304	0.6917008079
305	0.6916041842
306	0.6915414197
307	0.6914576777
308	0.6913861203
309	0.691315051
310	0.6912505849
311	0.6911671962
312	0.6911096832
313	0.6910335501
314	0.6909633926
315	0.6908460372
316	0.6907473161
317	0.6906677951
318	0.6905833917
319	0.6904673362
320	0.6903833789
321	0.6902981531
322	0.6902285557
323	0.6901504276
324	0.6899907453
325	0.6899190178
326	0.6898353105
327	0.6897582413
328	0.6896603091
329	0.6895497096
330	0.6894680111
331	0.6893773556
332	0.6892989919
333	0.6891822076
334	0.6891294689
335	0.6890602501
336	0.6889789331
337	0.6888980108
338	0.6888377258
339	0.6887800201
340	0.6887342652
341	0.6886392617
342	0.6885584805
343	0.6884494756
344	0.6883880557
345	0.6883360581
346	0.6883024128
347	0.6882553999
348	0.6881840799
349	0.6881090619
350	0.6880279098
351	0.6879360687
352	0.6878357741
353	0.6877354899
354	0.6876526524
355	0.6875644438
356	0.6874962118
357	0.687407461
358	0.6873397757
359	0.6872791198
360	0.687213217
361	0.6871279276
362	0.6869646028
363	0.6868451164
364	0.6867138818
365	0.6866541526
366	0.6865683994
367	0.6865150308
368	0.6864477108
369	0.6863329815
370	0.6862571319
371	0.6861966294
372	0.6861357608
373	0.6860855904
374	0.6859865928
375	0.6858898007
376	0.6858152955
377	0.685732931
378	0.6856379245
379	0.6855507436
380	0.6854825029
381	0.6853590399
382	0.6852851569
383	0.6852108312
384	0.6851394128
385	0.6850574383
386	0.684909353
387	0.6848365381
388	0.6847746971
389	0.6846727117
390	0.684585456
391	0.6845251171
392	0.6844716847
393	0.6844176929
394	0.6843669166
395	0.684290953
396	0.6842058187
397	0.6841454393
398	0.6841088541
399	0.6840051314
400	0.6839473295
401	0.6838549886
402	0.6837914746
403	0.6836602315
404	0.6836209459
405	0.6834494834
406	0.6833874152
407	0.6833412086
408	0.6832852459
409	0.6832078815
410	0.6831227814
411	0.6830084678
412	0.6829401105
413	0.6828646682
414	0.6828001613
415	0.6827099918
416	0.682588601
417	0.6825298478
418	0.6824790977
419	0.682397758
420	0.6823324357
421	0.6822441955
422	0.6821210424
423	0.6820541603
424	0.6819797872
425	0.6819020233
426	0.6818133141
427	0.6817228631
428	0.6816934545
429	0.6816462431
430	0.681608621
431	0.6815003599
432	0.6814363399
433	0.6813803269
434	0.6812990359
435	0.681241108
436	0.6811661002
437	0.6811161936
438	0.681030781
439	0.6809942838
440	0.6808779561
441	0.6808041869
442	0.6807134691
443	0.6805788405
444	0.6804621128
445	0.6804184688
446	0.6803535187
447	0.6802489911
448	0.6802039157
449	0.6801324415
450	0.6800468204
451	0.6799734089
452	0.6798804463
453	0.6798160463
454	0.6797246091
455	0.6796640492
456	0.6796368601
457	0.679564991
458	0.6794866565
459	0.6794227691
460	0.6793559063
461	0.6793169269
462	0.6792435298
463	0.6791918739
464	0.6791361647
465	0.6790240409
466	0.6789603402
467	0.6788850068
468	0.6787700589
469	0.678732113
470	0.6786587218
471	0.6785786494
472	0.6785157828
473	0.6784431095
474	0.6783633935
475	0.6782907068
476	0.6781935151
477	0.6781359916
478	0.6780652799
479	0.6780167028
480	0.6779457732
481	0.6778907498
482	0.6778005561
483	0.677686556
484	0.6776363242
485	0.6775254595
486	0.677462189
487	0.6770622066
488	0.6769984812
489	0.6769385281
490	0.6768769312
491	0.6767858434
492	0.676745046
493	0.6766442123
494	0.6765512121
495	0.6764917571
496	0.676427985
497	0.6763168197
498	0.6762360456
499	0.6761695598
500	0.6761129255
501	0.6760481524
502	0.675977939
503	0.6759263167
504	0.6757605558
505	0.675692911
506	0.6756281395
507	0.6755565318
508	0.675345527
509	0.6752655013
510	0.6751764765
511	0.6751030236
512	0.6749941509
513	0.6749079845
514	0.6748346508
515	0.6747697175
516	0.6747008722
517	0.6746387942
518	0.6745601624
519	0.6744595546
520	0.6744065001
521	0.6743553789
522	0.6742802365
523	0.674206723
524	0.6741474529
525	0.674113886
526	0.6739430191
527	0.6738810708
528	0.673840678
529	0.6737899974
530	0.6737238498
531	0.673668708
532	0.6736145151
533	0.6735559892
534	0.6734848979
535	0.6732955602
536	0.6732466188
537	0.6731717834
538	0.6730044361
539	0.6729322911
540	0.6728690122
541	0.6728118899
542	0.6727619619
543	0.6727291467
544	0.6721801281
545	0.6721397074
546	0.6720792457
547	0.6720195812
548	0.6719590576
549	0.6718898935
550	0.6718225767
551	0.6717768077
552	0.6717099207
553	0.6715745222
554	0.6715335401
555	0.6714525164
556	0.6714066001
557	0.6713482985
558	0.6712895751
559	0.6712159664
560	0.6711686969
561	0.6710834726
562	0.6710304403
563	0.6709652914
564	0.670922427
565	0.670851343
566	0.6707662838
567	0.6707049506
568	0.670646783
569	0.6705874057
570	0.670496815
571	0.6704386833
572	0.6703642962
573	0.6703031613
574	0.6701777169
575	0.6700776748
576	0.6700312741
577	0.6699493645
578	0.6698850107
579	0.6698375055
580	0.6697874198
581	0.6697449264
582	0.6696529213
583	0.6695789185
584	0.6695194766
585	0.6694452781
586	0.6693919927
587	0.6693043806
588	0.669255765
589	0.6691635703
590	0.6690646373
591	0.6690093605
592	0.6689405432
593	0.6689041723
594	0.6688298022
595	0.6687835685
596	0.6686740182
597	0.668636062
598	0.6685900543
599	0.6685412139
600	0.6684888511
601	0.6684084722
602	0.6683478287
603	0.6682316785
604	0.6681319612
605	0.6680729335
606	0.6679437623
607	0.6678649172
608	0.6677948458
609	0.667736143
610	0.6676259052
611	0.6675806662
612	0.6675389627
613	0.667503732
614	0.6674508745
615	0.6673960126
616	0.6673390142
617	0.6672862103
618	0.6672218824
619	0.6671402008
620	0.6670772207
621	0.6670118209
622	0.6669706234
623	0.6669087625
624	0.6668658333
625	0.6668067977
626	0.6667501184
627	0.6666987734
628	0.6666372613
629	0.6665791255
630	0.6665260938
631	0.6664185399
632	0.6661051206
633	0.6660749954
634	0.6660310542
635	0.6659662753
636	0.6659187487
637	0.6658904108
638	0.6657639849
639	0.6657128961
640	0.6656771025
641	0.6656297979
642	0.6655819809
643	0.6655242348
644	0.6654761611
645	0.6653834538
646	0.6653250031
647	0.6652747793
648	0.6652191524
649	0.6651681387
650	0.6650526844
651	0.6649988317
652	0.6649385188
653	0.6648901641
654	0.6648302525
655	0.6647971134
656	0.6647185817
657	0.6646548405
658	0.6645964591
659	0.6644788025
660	0.6644226984
661	0.664377557
662	0.6643109386
663	0.6642480032
664	0.6642012175
665	0.6641035234
666	0.6640127169
667	0.6639685749
668	0.6638742584
669	0.6637982279
670	0.6637449036
671	0.6637062774
672	0.6636547529
673	0.6636071633
674	0.6635400981
675	0.6635030236
676	0.6633945636
677	0.6633332241
678	0.6632544714
679	0.663205403
680	0.6631430738
681	0.6630602981
682	0.6629988116
683	0.662940558
684	0.6628816496
685	0.6628255606
686	0.6627789746
687	0.6627319179
688	0.6626834586
689	0.6624987499
690	0.6624162955
691	0.6623449967
692	0.6621907725
693	0.6621396516
694	0.6620689227
695	0.6619917494
696	0.6619315464
697	0.6618722201
698	0.6618260324
699	0.6617915932
700	0.6617371951
701	0.6617013789
702	0.6616201162
703	0.6614548966
704	0.661396774
705	0.6613367957
706	0.6612856949
707	0.6612283003
708	0.6611910491
709	0.6611313838
710	0.6610804086
711	0.6610213428
712	0.6609770684
713	0.6609130681
714	0.6606623227
715	0.6606077639
716	0.6605776585
717	0.6605235437
718	0.6604704708
719	0.6604281674
720	0.6604006173
721	0.6603206345
722	0.6602912692
723	0.6602653586
724	0.6601774278
725	0.6601200531
726	0.6600990979
727	0.6600657967
728	0.6599913545
729	0.6599271462
730	0.6598801417
731	0.6598143405
732	0.6597742075
733	0.6596846557
734	0.6595925322
735	0.6595535234
736	0.6594778544
737	0.6594294279
738	0.6593865668
739	0.6593358685
740	0.6592705889
741	0.6592001344
742	0.6591642278
743	0.6591182165
744	0.6590551941
745	0.659002056
746	0.6589316385
747	0.6588722545
748	0.6588139114
749	0.6587598068
750	0.6587153815
751	0.658660651
752	0.6586023661
753	0.6585547255
754	0.6584991277
755	0.6583478893
756	0.658273447
757	0.6581817425
758	0.6581478244
759	0.6580291606
760	0.6579818472
761	0.657942241
762	0.6578769753
763	0.6578167441
764	0.6577534099
765	0.6577171515
766	0.6576757999
767	0.6576120594
768	0.6575809974
769	0.6575391265
770	0.6574727093
771	0.6574280689
772	0.6573635954
773	0.6573143486
774	0.6572667454
775	0.6571707888
776	0.657117978
777	0.6570621611
778	0.6570302361
779	0.6569673408
780	0.6569149355
781	0.6568625366
782	0.656821095
783	0.6567700028
784	0.6567274738
785	0.6566735976
786	0.6565889245
787	0.6565396415
788	0.6564909178
789	0.6564559085
790	0.6563966902
791	0.6563472668
792	0.6562846773
793	0.656249032
794	0.6562079725
795	0.6561628118
796	0.6561235601
797	0.6560825126
798	0.6560193123
799	0.6559931233
800	0.655955588
801	0.6559113794
802	0.6558562875
803	0.6558045121
804	0.6556946506
805	0.6556579358
806	0.6556251863
807	0.6555728018
808	0.6554599186
809	0.6554118135
810	0.6553771337
811	0.6553314211
812	0.6551349978
813	0.6550911991
814	0.6550456972
815	0.6549846123
816	0.6549515028
817	0.6548962386
818	0.6548479345
819	0.6547893678
820	0.65471924
821	0.6546737007
822	0.654609901
823	0.6545365294
824	0.654495006
825	0.6544452287
826	0.6544079221
827	0.6543582084
828	0.6542593927
829	0.654223014
830	0.654169042
831	0.6541161883
832	0.6534744272
833	0.6534271189
834	0.6533764569
835	0.6533023408
836	0.6531999553
837	0.6531336523
838	0.6530796791
839	0.6530333917
840	0.6529984928
841	0.6529754962
842	0.6529135686
843	0.6528441295
844	0.6528024329
845	0.6527330447
846	0.6526952548
847	0.6526419087
848	0.6525931856
849	0.6525467628
850	0.6525028167
851	0.6524381889
852	0.6523936753
853	0.652360567
854	0.6523218023
855	0.6522781117
856	0.6521871267
857	0.6521579126
858	0.6520993501
859	0.6520732382
860	0.6520105316
861	0.6519653103
862	0.6519349917
863	0.6518661643
864	0.6518268157
865	0.6517423556
866	0.6516935144
867	0.6516238305
868	0.6515820601
869	0.6515315777
870	0.6514766566
871	0.6514354651
872	0.6513694155
873	0.6513387201
874	0.6512956981
875	0.6512399961
876	0.6511537455
877	0.6511151282
878	0.6510426059
879	0.6510017831
880	0.6509715442
881	0.6509087845
882	0.6508632668
883	0.6508386006
884	0.6507889305
885	0.6507414403
886	0.6506938532
887	0.6506665287
888	0.6506178483
889	0.6505480974
890	0.6505048988
891	0.65045186
892	0.6504083447
893	0.6503455271
894	0.6503021381
895	0.6502169565
896	0.650148421
897	0.6501144083
898	0.6500826141
899	0.6500469409
900	0.6500044741
901	0.6499585344
902	0.6498780482
903	0.6498265405
904	0.6497932429
905	0.6497542684
906	0.6497124322
907	0.6496596619
908	0.6494548369
909	0.6494186859
910	0.6493360576
911	0.6492873774
912	0.6492157542
913	0.6491618724
914	0.6491052425
915	0.6490656515
916	0.6489957716
917	0.6489431398
918	0.6489143872
919	0.6488592328
920	0.6488199589
921	0.6487700856
922	0.6487292568
923	0.6486768894
924	0.6486443354
925	0.648601895
926	0.6484979642
927	0.6484313825
928	0.6483990858
929	0.6482897006
930	0.6482490465
931	0.6482072305
932	0.6481630395
933	0.6481225394
934	0.6480729724
935	0.6480560159
936	0.6479956029
937	0.6479532751
938	0.6479018813
939	0.6478574934
940	0.647730419
941	0.6477044861
942	0.6476512062
943	0.6475973596
944	0.6475696667
945	0.6475206946
946	0.6474786764
947	0.6474278978
948	0.6473927205
949	0.6473445751
950	0.6471429192
951	0.6471024564
952	0.6470592469
953	0.6470186055
954	0.6469018068
955	0.6468676272
956	0.6468228745
957	0.6466896869
958	0.6466455511
959	0.6465977041
960	0.6465347396
961	0.6464913958
962	0.6464634408
963	0.6464139112
964	0.646356067
965	0.6463072394
966	0.6462734824
967	0.6461989517
968	0.6461472546
969	0.6461114429
970	0.6460769054
971	0.6460373306
972	0.6459956641
973	0.6459214949
974	0.6458631231
975	0.6458275249
976	0.6457725287
977	0.645734375
978	0.6456722677
979	0.6456263294
980	0.6455901032
981	0.6455423118
982	0.6454620357
983	0.645419198
984	0.6453163751
985	0.6452734096
986	0.645226353
987	0.6451760218
988	0.6451283156
989	0.6450959826
990	0.6450479985
991	0.6449989962
992	0.6449467779
993	0.6449160699
994	0.6448823333
995	0.6448399513
996	0.6448145114
997	0.6447665738
998	0.6447015586
999	0.6446549991
